"Item","Number of consumer units (in thousands)","Income before taxes","Age of reference person","People","Children under 18","Adults 65 and older","Earners","Vehicles","Percent homeowner","Average annual expenditures","Food","Food at home","Cereals and bakery products","Meats, poultry, fish, and eggs","Dairy products","Fruits and vegetables","Other food at home","Food away from home","Alcoholic beverages","Housing","Shelter","Owned dwellings","Rented dwellings","Other lodging","Utilities, fuels, and public services","Household operations","Housekeeping supplies","Household furnishings and equipment","Apparel and services","Transportation","Vehicle purchases (net outlay)","Gasoline, other fuels, and motor oil","Other vehicle expenses","Public and other transportation","Healthcare","Entertainment","Personal care products and services","Reading","Education","Tobacco products and smoking supplies","Miscellaneous","Cash contributions","Personal insurance and pensions","Life and other personal insurance","Pensions and Social Security","region"
"Dallas-
Fort Worth","2765.00","78842.00","46.90","2.50","0.60","0.20","1.40","1.60","53.00","63207.00","6571.00","3433.00","393.00","846.00","299.00","665.00","1230.00","3139.00","576.00","22350.00","13869.00","6646.00","6506.00","717.00","4182.00","1460.00","736.00","2103.00","2353.00","10507.00","4482.00","2117.00","3336.00","572.00","4479.00","3333.00","778.00","110.00","1662.00","230.00","1150.00","1517.00","7592.00","245.00","7348.00","south"
"Houston","2533.00","80250.00","46.80","2.80","0.80","0.30","1.40","1.70","59.00","67304.00","9153.00","4491.00","568.00","1087.00","373.00","905.00","1558.00","4662.00","650.00","21818.00","12823.00","7138.00","4915.00","771.00","4226.00","1526.00","808.00","2436.00","2606.00","12232.00","5469.00","2241.00","3732.00","790.00","4517.00","3413.00","844.00","93.00","1474.00","260.00","974.00","2093.00","7177.00","252.00","6926.00","south"
"Tampa","1199.00","60340.00","54.40","2.20","0.50","0.50","1.10","1.50","57.00","48654.00","6289.00","3615.00","462.00","933.00","388.00","650.00","1182.00","2675.00","417.00","17131.00","10220.00","5107.00","4821.00","293.00","3365.00","1773.00","633.00","1140.00","1346.00","8307.00","3697.00","1555.00","2752.00","304.00","3782.00","2100.00","612.00","27.00","658.00","268.00","944.00","996.00","5776.00","249.00","5527.00","south"
"All consumer
units in the
Northeast","23437.00","80741.00","52.50","2.40","0.50","0.40","1.30","1.60","60.00","62391.00","7611.00","4418.00","594.00","977.00","468.00","891.00","1489.00","3193.00","560.00","22063.00","14006.00","8123.00","4820.00","1063.00","3999.00","1507.00","683.00","1867.00","1951.00","8494.00","2951.00","1665.00","2914.00","964.00","4889.00","2952.00","729.00","107.00","2144.00","362.00","1088.00","2187.00","7254.00","429.00","6825.00","northeast"
"New York","7493.00","88313.00","52.20","2.50","0.50","0.40","1.30","1.20","49.00","67782.00","7689.00","4285.00","572.00","984.00","456.00","910.00","1364.00","3404.00","499.00","26113.00","18174.00","9299.00","7807.00","1068.00","4000.00","1697.00","661.00","1582.00","2291.00","7907.00","1777.00","1378.00","3167.00","1586.00","4681.00","2672.00","791.00","105.00","2733.00","245.00","999.00","3329.00","7727.00","465.00","7262.00","northeast"
"Philadelphia","2437.00","88974.00","53.30","2.40","0.50","0.40","1.40","1.70","70.00","65436.00","8203.00","4857.00","696.00","997.00","495.00","1033.00","1637.00","3345.00","492.00","20932.00","12413.00","8383.00","2905.00","1124.00","4380.00","1584.00","781.00","1775.00","2125.00","9505.00","3617.00","1843.00","3245.00","801.00","5540.00","2821.00","765.00","157.00","2702.00","401.00","1581.00","1560.00","8653.00","482.00","8171.00","northeast"
"Boston","1986.00","95276.00","49.60","2.20","0.50","0.40","1.30","1.60","55.00","74316.00","8264.00","5108.00","712.00","1033.00","519.00","1080.00","1764.00","3156.00","823.00","29015.00","18887.00","11069.00","6230.00","1588.00","4125.00","2217.00","629.00","3157.00","2134.00","8463.00","2961.00","1746.00","2678.00","1077.00","5261.00","3844.00","741.00","96.00","3101.00","344.00","1251.00","2665.00","8314.00","332.00","7982.00","northeast"
"All consumer
units in the
West","28601.00","85107.00","49.80","2.70","0.70","0.40","1.40","2.10","58.00","66704.00","8571.00","4742.00","596.00","1008.00","486.00","958.00","1694.00","3829.00","663.00","22612.00","14210.00","7514.00","5845.00","851.00","3847.00","1565.00","788.00","2203.00","2054.00","10217.00","4170.00","2180.00","3004.00","863.00","4857.00","3540.00","854.00","143.00","1518.00","249.00","1275.00","2268.00","7882.00","322.00","7560.00","west"
"Los
Angeles","6337.00","76471.00","49.80","2.80","0.70","0.30","1.50","1.70","52.00","66971.00","8727.00","4466.00","549.00","1050.00","423.00","970.00","1474.00","4262.00","620.00","24331.00","16454.00","7822.00","7881.00","751.00","3757.00","1583.00","761.00","1775.00","2150.00","9741.00","3346.00","2601.00","2950.00","845.00","3956.00","2764.00","868.00","110.00","2024.00","190.00","1430.00","1522.00","8538.00","307.00","8231.00","west"
"San
Francisco","1749.00","124002.00","49.60","2.50","0.50","0.40","1.40","1.80","55.00","79291.00","8918.00","4487.00","599.00","1021.00","449.00","972.00","1447.00","4431.00","875.00","32656.00","22885.00","11958.00","9652.00","1275.00","4258.00","2580.00","560.00","2373.00","1878.00","7994.00","1904.00","1927.00","2544.00","1619.00","5013.00","3413.00","949.00","217.00","3214.00","82.00","1335.00","2412.00","10336.00","278.00","10059.00","west"
"San Diego","1244.00","99931.00","49.20","2.70","0.70","0.30","1.40","2.20","56.00","79585.00","9984.00","5364.00","638.00","1224.00","520.00","997.00","1985.00","4620.00","1112.00","28595.00","18677.00","10855.00","6807.00","1016.00","3760.00","2081.00","876.00","3200.00","2563.00","10592.00","3188.00","2432.00","3781.00","1191.00","5272.00","4513.00","1086.00","192.00","2453.00","189.00","1322.00","2038.00","9673.00","625.00","9049.00","west"
"Seattle","1640.00","117844.00","47.90","2.40","0.50","0.30","1.50","1.90","59.00","83790.00","10958.00","5978.00","754.00","1179.00","605.00","1362.00","2078.00","4980.00","986.00","26965.00","17241.00","9377.00","6881.00","982.00","3964.00","2461.00","775.00","2524.00","3884.00","12810.00","5363.00","2032.00","4037.00","1378.00","5546.00","4295.00","841.00","200.00","2036.00","257.00","1527.00","3502.00","9983.00","376.00","9608.00","west"
"Phoenix","1420.00","73834.00","50.00","2.50","0.70","0.40","1.30","1.80","63.00","62072.00","6856.00","3938.00","513.00","825.00","364.00","676.00","1559.00","2918.00","485.00","19491.00","10634.00","5738.00","4113.00","783.00","4071.00","1702.00","822.00","2262.00","1635.00","9985.00","4430.00","1914.00","2895.00","747.00","5328.00","3138.00","795.00","141.00","1129.00","402.00","912.00","1452.00","10323.00","266.00","10057.00","west"
"Denver","1422.00","105790.00","46.70","2.50","0.60","0.30","1.50","2.00","62.00","74088.00","8855.00","5057.00","622.00","1127.00","502.00","1047.00","1758.00","3798.00","771.00","25059.00","15452.00","8388.00","5727.00","1337.00","4015.00","1910.00","962.00","2720.00","2387.00","11841.00","5261.00","2028.00","3218.00","1334.00","6046.00","4340.00","1215.00","141.00","1430.00","310.00","1178.00","2397.00","8119.00","317.00","7802.00","west"
"Honolulu","532.00","93672.00","53.00","2.70","0.60","0.50","1.40","1.70","54.00","65099.00","10036.00","5161.00","511.00","1349.00","413.00","1071.00","1816.00","4875.00","658.00","24355.00","16502.00","6982.00","8769.00","751.00","4203.00","1441.00","716.00","1492.00","1667.00","7391.00","1954.00","1794.00","2156.00","1488.00","3977.00","3285.00","705.00","77.00","1820.00","101.00","597.00","3512.00","6919.00","251.00","6668.00","west"
"Anchorage","206.00","96094.00","49.10","2.60","0.60","0.30","1.50","2.50","60.00","71606.00","8306.00","5284.00","655.00","1073.00","502.00","992.00","2062.00","3022.00","788.00","23039.00","14231.00","7966.00","5342.00","924.00","4590.00","1407.00","719.00","2092.00","1648.00","12446.00","5850.00","2307.00","2780.00","1510.00","4557.00","4346.00","778.00","121.00","1523.00","482.00","1526.00","1867.00","10179.00","455.00","9724.00","west"
